userid,itemid,timestamp,rating
A2RS4M52NYUMK8,B0010WLQXW,1998-08-21T00:00:00,2.0
A1HBI9BBQIG1NH,B001SQAI98,1998-09-06T00:00:00,3.0
A1PLX7O7HW809U,B001F3FZVK,1999-02-22T00:00:00,5.0
A1KCA1O8SPOE8P,B00136NUG6,1999-07-24T00:00:00,5.0
A1KCA1O8SPOE8P,B0013D89TW,1999-11-28T00:00:00,5.0
AQP1VPK16SVWM,B01929H4VM,1999-11-30T00:00:00,5.0
A3M88RCAR2T804,B00124DTBK,2000-01-04T00:00:00,5.0
A9Q28YTLYREO7,B0013DCCS6,2000-01-14T00:00:00,5.0
A3M88RCAR2T804,B00000747R,2000-01-21T00:00:00,5.0
A9Q28YTLYREO7,B001F3FZVK,2000-01-22T00:00:00,1.0
A9Q28YTLYREO7,B001BZF788,2000-01-24T00:00:00,5.0
A9Q28YTLYREO7,B00138GYFS,2000-01-25T00:00:00,5.0
A9Q28YTLYREO7,B000W0CQ78,2000-02-20T00:00:00,5.0
A9Q28YTLYREO7,B00124DTBK,2000-03-04T00:00:00,5.0
A9Q28YTLYREO7,B00138D4YW,2000-03-05T00:00:00,5.0
A2ASIT0JYIGHTA,B001GFKIBE,2000-03-13T00:00:00,5.0
AZSN1TO0JI87B,B001ESSLIU,2000-03-17T00:00:00,5.0
A3AL8GQ69QE7WN,B005MVLI8A,2000-03-21T00:00:00,5.0
A3RA4OH4FDPS03,B005MVLI8A,2000-04-02T00:00:00,5.0
A2BWU5NT8RNE3Q,B00E95N35G,2000-04-10T00:00:00,5.0
A19DW3VKM5KKYB,B01929H4VM,2000-04-15T00:00:00,4.0
A1UXMT6XQFZLA1,B000V63C7G,2000-04-18T00:00:00,5.0
A2ASIT0JYIGHTA,B001IANAZ8,2000-04-18T00:00:00,3.0
A9Q28YTLYREO7,B000WLIE7I,2000-04-19T00:00:00,4.0
A9Q28YTLYREO7,B00138J7N4,2000-04-19T00:00:00,4.0
A9Q28YTLYREO7,B000V69784,2000-04-25T00:00:00,3.0
A3AL8GQ69QE7WN,B001IANAZ8,2000-04-28T00:00:00,3.0
A3Q4XAQXKKV6V,B001IANAZ8,2000-04-28T00:00:00,2.0
A2EENLV6OQ3DYM,B001232RGE,2000-05-09T00:00:00,5.0
A2EENLV6OQ3DYM,B001MD0GNK,2000-05-09T00:00:00,4.0
A9Q28YTLYREO7,B001OAVY28,2000-05-12T00:00:00,5.0
A9Q28YTLYREO7,B001UWUSYK,2000-05-14T00:00:00,5.0
AQ0SOAVPEB9C1,B000WLIE7I,2000-05-17T00:00:00,5.0
AL3Z1LZXS0Q1U,B00138J3CE,2000-05-18T00:00:00,5.0
A3FVAWZNKW9GX,B00138JAD6,2000-05-24T00:00:00,5.0
AXPYGNIC5ZIXS,B001GFKIBE,2000-05-25T00:00:00,5.0
A3M88RCAR2T804,B000V69784,2000-05-26T00:00:00,4.0
AZSN1TO0JI87B,B001O3WOVK,2000-05-27T00:00:00,5.0
A1EKTLUL24HDG8,9714721180,2000-05-29T00:00:00,5.0
A1ZGR5OLRH9YON,B001F3FZVK,2000-05-29T00:00:00,4.0
A3U3W7URZU9259,B001DUC4VE,2000-05-29T00:00:00,5.0
A9Q28YTLYREO7,B00FY3LLKG,2000-06-06T00:00:00,5.0
AQ0SOAVPEB9C1,B000VZHQW4,2000-06-09T00:00:00,5.0
A9Q28YTLYREO7,B000W1W96K,2000-06-12T00:00:00,5.0
AQ0SOAVPEB9C1,B00138KJI6,2000-06-13T00:00:00,5.0
A328S9RN3U5M68,B00160VE76,2000-06-16T00:00:00,5.0
A8EDTKSPOMRWK,B00123IAVK,2000-06-19T00:00:00,5.0
A1ALPL858XSDE,B000WLIE7I,2000-06-20T00:00:00,4.0
A1ALPL858XSDE,B00138KJI6,2000-06-20T00:00:00,3.0
A3M97WKI0FP3JF,9714721180,2000-06-22T00:00:00,4.0
A1FZA9C5MVIWHE,B002M9LEDO,2000-06-30T00:00:00,5.0
A1J03J0HZ7KU5T,B001BKEWE8,2000-07-02T00:00:00,4.0
A1HOVGEE981HS0,B001F3FZVK,2000-07-08T00:00:00,5.0
A1BJJVV2B5VLUQ,9714721180,2000-07-10T00:00:00,4.0
ALR35EFI69S5R,B001232RGE,2000-07-11T00:00:00,5.0
A1OB5L3WMHJAD9,B000006045,2000-07-16T00:00:00,5.0
AXPYGNIC5ZIXS,B00136NUG6,2000-07-22T00:00:00,4.0
ALD1CRUBY1365,B0092MMOPQ,2000-08-06T00:00:00,4.0
A9Q28YTLYREO7,B0092MMOPQ,2000-08-22T00:00:00,4.0
ALR35EFI69S5R,B00138J5SQ,2000-09-02T00:00:00,5.0
A2EENLV6OQ3DYM,B000W20FY2,2000-09-05T00:00:00,5.0
A3FVAWZNKW9GX,B0010WLQXW,2000-09-15T00:00:00,5.0
A1AYEI2SNFPYES,B0027OQ2ZY,2000-09-20T00:00:00,4.0
A1HBI9BBQIG1NH,B001F3FZVK,2000-09-21T00:00:00,5.0
ADJXL0W0RJ7VV,9714721180,2000-10-03T00:00:00,4.0
A1C20CN2A2UP99,B001IANAZ8,2000-10-11T00:00:00,4.0
A1TJEQR04YNNIH,B0027OQ2ZY,2000-10-15T00:00:00,5.0
A7Y6AVS576M03,B01929H4VM,2000-10-22T00:00:00,1.0
A1GN8UJIZLCA59,B005MVLI8A,2000-10-23T00:00:00,5.0
AXFI7TAWD6H6X,B001IANAZ8,2000-10-28T00:00:00,5.0
A23Q1T4MXZHFM7,B001BVKVLU,2000-10-29T00:00:00,5.0
AQLKBEVHUQ0JK,B00123IAVK,2000-11-05T00:00:00,5.0
A2J57EQ9KPGXR9,B001F3FZVK,2000-12-13T00:00:00,1.0
A2HWD9PTM7RBXN,B00138J5SQ,2000-12-25T00:00:00,5.0
A2BO41VARYGTAC,B001F3FZVK,2001-01-03T00:00:00,4.0
A1GN8UJIZLCA59,B001GFKIBE,2001-01-04T00:00:00,5.0
A1GN8UJIZLCA59,B01929H4VM,2001-01-04T00:00:00,5.0
A1GN8UJIZLCA59,B000W11NQ2,2001-01-10T00:00:00,5.0
ARHOZP9Y49IH4,9714721180,2001-01-12T00:00:00,5.0
A1UXMT6XQFZLA1,B00138H61Y,2001-01-13T00:00:00,4.0
A1IANEBSMVGHS9,B0027OQ2ZY,2001-02-04T00:00:00,5.0
A1906RZITWT2K2,B000VZJS84,2001-02-07T00:00:00,5.0
A1X4JO8EJ1U5BR,B01929H4VM,2001-02-08T00:00:00,5.0
A2BO41VARYGTAC,B000V63C4Y,2001-02-09T00:00:00,5.0
A2BO41VARYGTAC,B000WKT6B2,2001-02-10T00:00:00,5.0
A1UXMT6XQFZLA1,B00136NUG6,2001-02-21T00:00:00,5.0
A3QWNQ2WA7QZYJ,B00138KIVE,2001-02-24T00:00:00,4.0
A1EKTLUL24HDG8,B000002TTH,2001-02-26T00:00:00,5.0
A9Q28YTLYREO7,B00136JOYS,2001-03-03T00:00:00,5.0
ALR35EFI69S5R,B001MD0GNK,2001-03-07T00:00:00,5.0
ADJXL0W0RJ7VV,B000002TTH,2001-03-14T00:00:00,4.0
AQ0SOAVPEB9C1,B00136RSW8,2001-03-16T00:00:00,5.0
A2BO41VARYGTAC,B001GFKIBE,2001-04-02T00:00:00,5.0
A3RC3AK8UN89I9,B000V6980Q,2001-04-03T00:00:00,3.0
A1906RZITWT2K2,B001BKEWE8,2001-04-08T00:00:00,4.0
AAOMG1YP0VNP9,9714721180,2001-04-11T00:00:00,4.0
A35GBKC07S77L7,B0013AUEMU,2001-04-18T00:00:00,5.0
A35GBKC07S77L7,B001EJJM2I,2001-04-18T00:00:00,5.0
A3RC3AK8UN89I9,B001F3FZVK,2001-04-18T00:00:00,3.0
AGAMDS21PJZPK,B001EJJM2I,2001-04-18T00:00:00,5.0
AAOMG1YP0VNP9,B005MVLI8A,2001-04-22T00:00:00,2.0
A1GN8UJIZLCA59,B0055TMDM4,2001-04-27T00:00:00,5.0
A3RC3AK8UN89I9,B00138KJI6,2001-05-01T00:00:00,5.0
A3RC3AK8UN89I9,B001EJJM2I,2001-05-01T00:00:00,5.0
A29TNAVMPYFRDF,B001F3FZVK,2001-05-05T00:00:00,3.0
A1TC5EBGPW13UJ,B001EJJM2I,2001-05-11T00:00:00,5.0
A1906RZITWT2K2,B005MVLI8A,2001-05-18T00:00:00,5.0
A36RS7KTNOBROF,B005MVLI8A,2001-05-19T00:00:00,5.0
A1906RZITWT2K2,B001229HNQ,2001-05-29T00:00:00,4.0
A1906RZITWT2K2,B000V63C7G,2001-06-11T00:00:00,5.0
AZSN1TO0JI87B,B000VRTJI6,2001-06-12T00:00:00,4.0
