userid,itemid,timestamp,rating
A26A64X86VL1R4,B00W6YWYQ6,2006-10-14T00:00:00,5.0
A26X7W5UM5QFT4,B000VK7Y80,2006-12-22T00:00:00,5.0
A1ZXZ2ND3R1C0R,B00I669LU0,2007-01-03T00:00:00,5.0
A2R6RA8FRBS608,B000SSS6AU,2007-08-05T00:00:00,5.0
A2R6RA8FRBS608,B0014D5L2O,2007-10-08T00:00:00,5.0
AKMEY1BSHSDG7,B00099XPD6,2008-02-12T00:00:00,5.0
AKMEY1BSHSDG7,B00NWMH6NC,2008-02-12T00:00:00,5.0
AY12DBB0U420B,B000SSS6AU,2008-02-28T00:00:00,5.0
A2MZ2LIQ3D6FGA,B000VK7Y80,2008-04-09T00:00:00,5.0
A2RKZTRZVJR0W5,B0014CVSOA,2008-05-19T00:00:00,5.0
A2YKWYC3WQJX5J,B00099XPD6,2008-06-03T00:00:00,5.0
A2R6RA8FRBS608,B00W6YWYQ6,2008-06-06T00:00:00,4.0
A2Y8IDC1FKGNJC,B000SRK8V6,2008-07-26T00:00:00,5.0
A3UCO7B9HP42BG,B00099XPD6,2008-07-28T00:00:00,5.0
A250AXLRBVYKB4,B0014CRZWE,2008-08-18T00:00:00,4.0
A31N6KB160O508,B00099XPD6,2008-08-27T00:00:00,4.0
A31N6KB160O508,B00NWMH6NC,2008-08-27T00:00:00,4.0
A3NF5J6DYJ5SRL,B000QJ8SY0,2008-09-20T00:00:00,4.0
A250AXLRBVYKB4,B000PL0YG4,2008-11-24T00:00:00,4.0
AYOMAHLWRQHUG,B00W6YWYQ6,2008-12-02T00:00:00,5.0
A3UCO7B9HP42BG,B000SRK8V6,2008-12-28T00:00:00,4.0
A3PJZ8TU8FDQ1K,B00099XPD6,2009-01-12T00:00:00,5.0
A1KI3173CO6TK2,B000VK2L1K,2009-01-21T00:00:00,4.0
A2X3L31KCXBHCL,B000VK7Y80,2009-02-20T00:00:00,5.0
A250AXLRBVYKB4,B00W6YWYQ6,2009-02-22T00:00:00,5.0
A56JFSLUCHI4J,B00099XPD6,2009-03-18T00:00:00,5.0
A56JFSLUCHI4J,B0010YWJYK,2009-03-18T00:00:00,5.0
A1PI8VBCXXSGC7,B000RK4GNA,2009-03-25T00:00:00,4.0
A12JQNDSRZGCYC,B0014CRZWE,2009-04-03T00:00:00,5.0
A22CW0ZHY3NJH8,B00HZ6USRW,2009-05-15T00:00:00,4.0
A3CI9DSB6Z76JF,B000WHO1SI,2009-05-15T00:00:00,5.0
AIOS8LKXR4AKY,B00W6YWYQ6,2009-05-30T00:00:00,5.0
AQQLWCMRNDFGI,B0014D2AFU,2009-06-07T00:00:00,5.0
A1KI3173CO6TK2,B000VK7Y80,2009-06-14T00:00:00,3.0
A3RMGIKUWGPZOK,B00NWMH6NC,2009-06-15T00:00:00,5.0
A3RMGIKUWGPZOK,B00NWMHG9G,2009-06-15T00:00:00,3.0
AZV26LP92E6WU,B0014D5L2O,2009-07-14T00:00:00,5.0
A1Q7A78VSQ5GQ4,B00099XPD6,2009-08-04T00:00:00,5.0
A1Q7A78VSQ5GQ4,B00NWMHG9G,2009-08-04T00:00:00,5.0
